skill,invoke_name,skill_name,catagory
B07NT9TF23,”Alexa start general knowledge trivia”,General Knowledge Trivia,"all_newest, Games & Trivia, all_feature"
B07MCBR5JB,"”Alexa, open loop it”,”Alexa, start loop it”,”Alexa, launch loop it”",Loop It!,"all_newest, Games & Trivia, all_feature"
B09JNVH3QT,"”Alexa, open words master”",Words Master,"all_newest, Games & Trivia, all_feature"
B07BF7XL6F,"”Alexa, open Lemonade Stand”",Lemonade stand,"all_newest, Games & Trivia, all_review"
B07PWPG3DL,"”Alexa, open Best Car Sounds”,”How does a Ford G T?”,”Alexa, open Best Car Sounds and play a random car sound”",Best Car Sounds,"all_newest, Games & Trivia, Music & Audio, all_feature"
B01N47LCE6,"”Alexa, Start Computer Terminology”,”Begin another game”,”Repeat”",Computer Terminology,Games & Trivia
B07DWS8HTY,"”Alexa, play word game”,”Alexa, ask word game for guess game”,”Alexa, ask word game for scramble game”",Word Game,Games & Trivia
B07C582S6R,"”Alexa open tongue twisters and tell me a tongue twister”,”Alexa ask tongue twisters a tongue twister”,”Alexa ask tongue twisters to surprise me”",Tongue Twisters,Games & Trivia
B08PVTHNJ2,"”Alexa open Escape the School”,”Alexa launch Escape the School”",Escape the School,Games & Trivia
B071R5LV7H,"”Alexa, open WoW Lore”,”Alexa, launch WoW Lore”,”Alexa, start WoW Lore”",WoW Lore Trivia,Games & Trivia
B01N3CJ4AN,"”Alexa, ask Crafting Coach, How do i craft a furnace”,”Alexa, ask Crafting Coach, How do i craft a chest”,”Alexa, ask Crafting Coach, How do i craft a item frame”",Crafting Coach,Games & Trivia
B08V573QY9,"”Alexa open hang man.”,”Alexa launch hang man.”",Hangman,Games & Trivia
B08GXYZYDM,"”Alexa, open Los Angeles Times Crossword”",Los Angeles Times Crossword,Games & Trivia
B06XPYGXZM,"”Alexa, launch When Is Holiday”",When Is Holiday,Games & Trivia
B071KT632V,"”Alexa Play Dead or Alive”,”Alexa Open dead or alive”,”Alexa start dead or alive”",Dead or Alive,Games & Trivia
B019DA09YE,"”Alexa, ask Math Mania to play”,”Alexa, tell Math Mania to start”,”Alexa, tell Math Mania to start game”",Math Mania,Games & Trivia
B07HMYTDLL,"”Alexa, play Marauder's Map Button Edition”,”Alexa, open Marauder's Map Button Edition”,”Alexa, start Marauder's Map Button Edition!”",Marauder's Map: Button Edition,Games & Trivia
B01KJ91K5U,"”Alexa, start Audio Battleship”,”Alexa, open Audio Battleship”,”Alexa, ask Audio Battleship to start a new game”",Audio Battleship,Games & Trivia
B01ICU2L2E,"”Alexa, launch Game of Trivia”,”My answer is one”,”I don't know”",Game Of Trivia,Games & Trivia
B07DPQK6TK,"”Alexa, open interactive stories”",Interactive Stories,Games & Trivia
B073LKHFPC,"”Alexa, ask My Knowledge”,”Alexa, play My Knowledge”,”Alexa, launch My Knowledge”",My Knowledge,Games & Trivia
B01N6VK2C6,"”Alexa, ask Cube Scrambler to tell me a rubik's cube scramble”,”Alexa, ask Cube Scrambler for a scramble”,”Alexa, ask Cube Scrambler to generate a random cube scramble”",Cube Scrambler,Games & Trivia
B076DDWBVP,"”Alexa, open Sing Down”,”Alexa, launch Sing Down”,”Get started”",Sing Down,Games & Trivia
B01KKZ5TP0,"”Alexa, start Audio Hangman”,”Alexa, ask Audio Hangman to start a new game”,”Alexa, ask Audio Hangman to check letter A”",Audio Hangman,Games & Trivia
B076GC2SS2,"”Alexa Play Totally Awesome Team Trivia”,”Help”,”The answer is ...”",Totally Awesome Team Trivia,Games & Trivia
B07DW6X3XV,"”Alexa  launch lucky dice”,”Alexa open lucky dice”,”Alexa start lucky dice”",Lucky Dice,Games & Trivia
B01M0S1VOR,"”Alexa ask Poke Go Gym Helper how to beat a Pikachu”,”Tell me how to beat a Dragonite”,”What do I need to beat a Snorlax”",Poke Go Gym Helper,Games & Trivia
B01FYMWWQS,"”Alexa ask Alfa Bravo Charlie to start a game”,”my guess is Bravo”,”tell me the answer”",Alfa Bravo Charlie,Games & Trivia
B01C9E2H2I,"”Alexa, start Best Picture Oscars.”,”My answer is four.”,”Is it three?”",Best Picture Oscars The Last 30 Years,Games & Trivia
B0779F5ZDN,"”Alexa open Guess The price”,”There are two players”,”My price is 90 dollars”",Guess The Price,Games & Trivia
B075CGWG8C,"”Alexa, open potter house quiz”,”Alexa, ask potter house quiz to start a quiz”,”Alexa, ask potter house quiz for information on Merlin”",Harry Potter House Quiz,Games & Trivia
B077RMHDD1,"”Alexa, open Christmas Song Quiz”,”Start a Quiz”,”Tell me about The Christmas Song”",Christmas Song Quiz,Games & Trivia
B073TRHKFD,"”Alexa, play SciFi Quiz”,”Alexa, launch SciFi Quiz and start a quiz”,”Tell me about The Andromeda Strain”",SciFi Quiz,Games & Trivia
B0859QF8YL,"”Alexa, open Blindfold Chess”",blindfold chess,Games & Trivia
B01LW9TQ1Y,"”Alexa, open Haunted House”",Haunted House,Games & Trivia
B01JDNSRFO,"”Alexa, start eighties bands”,”Alexa, ask eighties bands to start game”,”Alexa, ask eighties bands to start”",Name that Song from the 80s,Games & Trivia
B07F1DZL2T,"”Alexa, start speak up.”",Speak Up: The Party Quiz,Games & Trivia
