skill,skill_name,invoke_name
,,
B09JNVH3QT,Words Master,"Alexa, open words master"
B01N47LCE6,Computer Terminology,"Alexa, Start Computer Terminology"
B07DWS8HTY,Word Game,"Alexa, play word game"
B08PVTHNJ2,Escape the School,Alexa open Escape the School
B08V573QY9,Hangman,Alexa open hang man.
B08GXYZYDM,Los Angeles Times Crossword,"Alexa, open Los Angeles Times Crossword"
B019DA09YE,Math Mania,"Alexa, ask Math Mania to play"
B073LKHFPC,My Knowledge,"Alexa, ask My Knowledge"
B076GC2SS2,Totally Awesome Team Trivia,Alexa Play Totally Awesome Team Trivia
B07DW6X3XV,Lucky Dice,Alexa launch lucky dice
B01FYMWWQS,Alfa Bravo Charlie,Alexa ask Alfa Bravo Charlie to start a game
B0779F5ZDN,Guess The Price,Alexa open Guess The price
B075CGWG8C,Harry Potter House Quiz,"Alexa, open potter house quiz"
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz"
B0859QF8YL,blindfold chess,"Alexa, open Blindfold Chess"
B01JDNSRFO,Name that Song from the 80s,"Alexa, start eighties bands"
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up."
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude"
B073NK3HMW,Lyrics Idol,"Alexa, open Lyrics Idol"
B01LYRDYT4,Movie Quotes,Alexa open movie quotes
B01M12EP5B,The Dice Game,"Alexa, Start the dice game"
B078592P2S,Christmas Movie Guessing Game,"Alexa, open christmas movie game."
B072XH5JZJ,High Low Game,"Alexa, let's play High Low Game"
B07QF77YR2,Movie Trivia Game,"Alexa, open movie trivia game"
B07D6NWVKW,Quiz of the Day skill for Amazon Alexa,"Alexa, open Quiz of the Day."
B07S3W1VMX,Movie Quotes Quiz,Alexa open beast audio
B06XN5QW6N,Vocabulary Master,"Alexa, Start Vocabulary Master"
B07K5D5GTK,Classic Rock Trivia,"Alexa, open classic rock trivia"
B01HT46HTC,Trivia Movie Quotes,"Alexa, launch Trivia Movie"
B087Z5F54N,World Geography Quiz,"Alexa, open World Geographic Quiz"
B07RZ4L2KZ,Super Blackjack,"Alexa, open Super Blackjack"
B07CKKS7RG,Escape the Mars,Alexa open escape the mars
B07F7S19FX,True Or False? (For Buttons),"Alexa, play true or false"
B07W8J1GD3,Finish The Phrase,"Alexa, play finish the phrase"
B072M8HJ3N,Ghost Game,"Alexa, play Ghost Game"
