Skill_id,skill_name,invoke_name,Alexa_Answer,User_Response,,
B01MXMEJEY,expense tracker,"Alexa ask expense tracker to create a new report",,,,
B01GU5GE8A,IP Lookup,"Alexa ask eye pee lookup where is four dot",,,,
B07L8GBRCD,EZContacts Customer Service,"Alexa ask EZ Contacts where is my order",,,,
B07576N1KL,Fairfax County Library,"Alexa ask Fairfax County Library for the latest news",,,,
B0785PQRGM,Fart Sounds,"Alexa ask Fart Sounds to Get a Fart Sound",,,,
B019ZY1ECY,Fidelity Investments,"Alexa ask Fidelity to get a quote for Amazon",,,,
B01MRIRURE,Fight Card,"Alexa ask Fight Card for the next event",,,,
B01CH4BP28,Fitbit,"Alexa ask Fitbit how I am doing today",,,,
B01J6Q48W4,Flame Boss,"Alexa ask Flame Boss how's my cook",,,,
B07H6LLRXW,Flat Earth,"Alexa ask flat earth if to prove that the earth is flat",,,,


