skill,skill_name,invoke_name
B01MXMEJEY,expense tracker,"Alexa, ask expense tracker to create a new report"
B01GU5GE8A,IP Lookup,"Alexa, ask eye pee lookup where is four dot four dot four dot four"
B07L8GBRCD,EZContacts Customer Service,"Alexa, ask EZ Contacts where is my order?"
B07576N1KL,Fairfax County Library,"Alexa, ask Fairfax County Library for the latest news"
B0785PQRGM,Fart Sounds,"Alexa, ask Fart Sounds to Get a Fart Sound"
B019ZY1ECY,Fidelity Investments,"Alexa, ask Fidelity to get a quote for Amazon"
B01MRIRURE,Fight Card,"Alexa, ask Fight Card for the next event"
B01CH4BP28,Fitbit,"Alexa, ask Fitbit how I'm doing today."
B01J6Q48W4,Flame Boss,"Alexa, ask Flame Boss how's my cook"
B07H6LLRXW,Flat Earth,"Alexa, ask flat earth if to prove that the earth is flat."
B07V51MVNH,Flume Water,"Alexa, ask Flume for my water use yesterday"
B01G5ZF0P8,Foobot your good air guru,"Alexa, ask Foobot how is air quality in my bedroom"
B077Y1FK9D,FordPass,"Alexa, ask ford pass to unlock my car."
B083WPBLVR,Fox News,"Alexa, ask Fox News to play Hemmer Time."
B07GXCV89N,Frontgate,"Alexa, ask Frontgate where is my order?"
B075TRB4V5,Garmin,"Alexa, ask Garmin to find a gas station."
B07LBB3DRS,GasBuddy,"Alexa, ask Gas Buddy to find the cheapest gas"
B07C842CDG,GEGO - Locate what you love,"Alexa, ask GEGO Tracker where is my device”"
B07D3KDQ45,Glamazon Pride Facts,"Alexa, ask glamazon for a pride fact."
B079TWKN49,myGMC,"Alexa, ask GMC to start up my Enclave"
B07CNT5S73,GoToMeeting for Alexa,"Alexa, ask go to meeting to get my meetings for today"
B0743YMLRH,Random God Emperor Trump Quotes,"Alexa, ask God Emperor Trump for a quote"
B01HKCDKK2,Good News Bad News,"Alexa, ask good-news-bad-news tell me the good news"
B07XCH21ZV,Govee,"Alexa, ask govee what is the temperature and humidity of bedroom"
B01N5PNU0W,grocery,"Alexa, ask grocery manager to get my grocery list"
B01L2UOWE6,GuessACard,"Alexa, Ask Guess A Card to guess a card"
B071ZZDZDX,Gun Violence Facts,"Alexa, ask gun violence facts to give me a fact”"
B01H9JL486,Hail Mary,"Alexa, ask Hail Mary to tell me a prayer"
B07514DCNT,Harry Potter Jokes,"Alexa, ask Harry Potter Jokes"
B077Y7TTDR,Healthy Snacker,"Alexa, ask Healthy Snacker to recommend a snack."
B01BMWLJ2W,Hebcal,"Alexa, ask Hebcal for Shabbat times."
B01NA9OQPA,Holy Quraan,"Alexa, ask Holy Quraan to play chapter One"
B07843F1GQ,Home Remedies,"Alexa, ask home remedies for headache"
B08K879WHF,Honda,"Alexa, ask Honda to start my engine."
B076L5DJ1M,Hoover Robot,"Alexa, ask Hoover Robot to start mission."
B07QKJDQ74,Hubble,"Alexa, ask hubble to tell temperature"
B01M63EBQ6,I Sneezed,"Alexa, ask i sneezed"
B01M7UC179,Unofficial Trump Insult Generator,"Alexa, ask insult generator to generate insult for Jessica"
B07VSV1KJK,94.3 JACK FM Knoxville,"Alexa, ask Jack f. m. knoxville to listen live"
B07DD2VGFS,Jeep,"Alexa, ask Jeep to check the tire pressure of my car."
B01LZ7KTXD,Joule: Sous Vide by ChefSteps,"Alexa, ask jewel to set the temperature to 140 degrees Fahrenheit."
B01FH84X2K,Enel X EV Charging,"Alexa, ask Juice Box to get status"
B074S5G127,Jurassic Bark,"Alexa, ask Jurassic Bark to bark"
B07HQLRPS4,Kangaroo,"Alexa, ask Kangaroo to arm home"
B07NBSYGHT,Kohler® Konnect,"Alexa, ask Kohler to turn on kitchen faucet"
B07GYS433J,language teacher,"Alexa, ask Language Teacher to set the language to Spanish"
B07B9NQ1ZB,Lexus,"Alexa, ask Lexus to start my car."
B01LYUZ33B,"Liberal Lord, Socialist Savior","Alexa, ask Liberal Lord for a fact."
B076VJPDQC,Smart Security Light,"Alexa, ask Light Camera to turn off lighting mode for living room"
B07BQG1SQB,Lincoln Way,"Alexa, ask Lincoln Way to unlock my car."
B06XH7DKYL,Lititz Facts,"Alexa, ask Lititz Facts to tell me a Lititz fact"
B08JLR4W1J,Lively for Jitterbug Flip2,"Alexa, ask Lively to call Robert."
B01EWECCWS,Livy,"Alexa, ask Livy what happened today in history"
B07C7F116N,Lock Him Up,"Alexa, ask Lock Him Up for the latest news"
B07NL7PBFJ,Lollipop Camera,"Alexa, ask Lollipop to report recent event"
B0775GP7SF,Finding your other half,"Alexa, ask love forecast who is my other half?"
B073WVL6DL,Love You Languages,"Alexa, ask love you languages i love you"
B01N65XQ5Y,Lunch Spinner,"Alexa, ask lunch spinner"
B07WT9RQDD,Marshall Radio's 107.5 The Fan,"Alexa, ask marshall radios one oh seven five the fan to play live”"
B071P3WQRN,Mass Times,"Alexa, ask Mass Times what time is Mass in Miami"
B07Y155V19,Matthew Berry,"Alexa, ask Matthew Berry for the latest on Pat Mahomes."
B01ISBIYSM,Unit of Measure Conversion Facts,"Alexa, ask measurement converter to give me a conversion fact"
B071GCFSJ6,MEATER,"Alexa, ask MEATER to check on my cooks."
B01N7K2CLM,Meetup,"Alexa, ask Meetup what's happening today"
B075435C1Y,Mercedes me,"Alexa, ask Mercedes to lock my car"
B01DJOK2DI,Mixologist,"Alexa, ask Mixologist How do I make an Old Fashioned?"
B07XYHW8FK,MLB,"Alexa, ask MLB to play the Red Sox game."
B08284WDB4,Moen,"Alexa, ask Moen to dispense a cup of water at one hundred degrees"
B01BKT64QI,Mr Junky Food,"Alexa, ask Mr. Junky Food what to eat today."
B01NC00JQ7,Aalim,"Alexa, ask My Aalim for next prayer in Miami"
B079K37QYF,My AcuRite,"Alexa, ask My AcuRite what is my current condition"
B017YAF22Y,Ask My Buddy,"Alexa, ask My Buddy to send help"
B089JMLR9Z,Volkswagen Car-Net®,"Alexa, ask my Car Net to lock my car"
B076RFK3J1,My Cloud Home,"Alexa, ask My Cloud to play music"
B0797K3TB2,Nixplay Frame,"Alexa, ask my frame to show me my playlist."
B06WD5XN2F,My Government,"Alexa, ask my government."
B07C1M63BS,My Horoscope,"Alexa, ask My Horoscope"
B07X48SDWP,Human Touch Super Novo Virtual Therapist,"Alexa, ask my Novo to give me a massage."
B077Y6GC3D,My Pod,"Alexa, ask My Pod to play Stuff You Should Know."
B074DQ7PYK,My Points,"Alexa, ask my points to add 5"
B06ZZF8FRH,HP Printer,"Alexa, ask My Printer to print my shopping list."
B07285G1RK,ASUS ROUTER,"Alexa, ask my router to turn on the Guest Network"
