Skill_id,skill_name,invoke_name,Alexa_Answer,User_Response
B07W8J1GD3,Finish The Phrase,"Alexa, play finish the phrase",,
B0779F5ZDN,Guess The Price ,Alexa open Guess The price,,
B08V573QY9,Hangman,Alexa open hang man.,,
B075CGWG8C,Harry Potter House Quiz,"Alexa, open potter house quiz",,
B078592P2S,Christmas Movie Guessing Game,"Alexa, open christmas movie game.",,
B08GXYZYDM,Los Angeles Times Crossword,"Alexa, open Los Angeles Times Crossword",,
B073NK3HMW,Lyrics Idol,"Alexa, open Lyrics Idol",,
B019DA09YE,Math Mania,"Alexa, ask Math Mania to play",,
B07V73RQ2D,Mean Rude,"Alexa, open Mean Rude",,
B01HT46HTC,Trivia Movie Quotes,"Alexa, launch Trivia Movie",,
B07S3W1VMX,Movie Quotes Quiz,Alexa open beast audio,,
B07QF77YR2,Movie Trivia Game,"Alexa, open movie trivia game",,
B073LKHFPC,My knowledge,"Alexa, ask My Knowledge",,
B01JDNSRFO,Name that Song from the 80s,"Alexa, start eighties bands",,
B07D6NWVKW,Quiz of the Day skill for Amazon Alexa,"Alexa, open Quiz of the Day.",,
B073TRHKFD,SciFi Quiz,"Alexa, play SciFi Quiz",,
B07F1DZL2T,Speak Up: The Party Quiz,"Alexa, start speak up.",,
B07RZ4L2KZ,Super Blackjack,"Alexa, open Super Blackjack",,
B01M12EP5B,The Dice Game,"Alexa, Start the dice game",,
B076GC2SS2,Totally Awesome Team Trivia,Alexa Play Totally Awesome Team Trivia,,
B01HT46HTC,Trivia Movie Quotes,"Alexa, launch Trivia Movie",,
B07F7S19FX,True or False,"Alexa, play true or false",,
B06XN5QW6N,Vocabulary Master,"Alexa, Start Vocabulary Master",,
B087Z5F54N,World Geography Quiz,"Alexa, open World Geographic Quiz",,
B0859QF8YL,blindfold chess,"Alexa, open Blindfold Chess",,
B07DWS8HTY,Play word game,"Alexa, play word game",,
